subscriber_key,decided_at,churned_within_90d,eval_split,tenure_months,monthly_spend_usd,support_tickets_90d
SUB-00112,2026-03-15T03:00:00Z,0,train,53,46.85,3
SUB-00113,2026-03-10T03:00:00Z,0,train,49,73.21,2
SUB-00114,2026-03-05T07:00:00Z,1,train,4,92.14,0
SUB-00115,2026-03-02T15:00:00Z,1,train,15,36.61,2
SUB-00116,2026-03-07T05:00:00Z,0,train,66,36.67,3
SUB-00117,2026-03-10T21:00:00Z,1,train,4,73.43,4
SUB-00118,2026-03-13T15:00:00Z,1,train,11,60.08,5
SUB-00119,2026-03-10T23:00:00Z,0,train,57,64.14,1
SUB-00120,2026-03-15T13:00:00Z,0,train,49,46.81,1
SUB-00121,2026-03-05T05:00:00Z,1,train,29,62.32,3
SUB-00122,2026-03-07T12:00:00Z,1,train,35,79.21,3
SUB-00123,2026-03-14T22:00:00Z,1,train,30,31.58,1
SUB-00124,2026-03-13T11:00:00Z,1,train,16,33.62,3
SUB-00125,2026-03-03T23:00:00Z,0,train,49,65.02,0
SUB-00126,2026-03-12T10:00:00Z,0,train,59,86.48,3
SUB-00127,2026-03-13T08:00:00Z,0,train,40,46.72,2
SUB-00128,2026-03-11T21:00:00Z,1,train,7,49.30,1
SUB-00129,2026-03-12T22:00:00Z,1,train,25,58.17,3
SUB-00130,2026-03-10T06:00:00Z,0,train,26,49.45,0
SUB-00131,2026-03-05T19:00:00Z,0,train,53,25.91,1
SUB-00132,2026-03-14T17:00:00Z,1,train,8,51.30,2
SUB-00133,2026-03-07T10:00:00Z,1,train,31,96.54,5
SUB-00134,2026-03-02T23:00:00Z,1,train,40,46.43,4
SUB-00135,2026-03-13T15:00:00Z,1,train,5,96.41,3
SUB-00136,2026-03-03T20:00:00Z,1,train,3,84.63,4
SUB-00137,2026-03-07T08:00:00Z,1,train,23,92.57,3
SUB-00138,2026-03-05T03:00:00Z,0,train,39,51.95,2
SUB-00139,2026-03-03T23:00:00Z,0,train,57,63.01,2
SUB-00140,2026-03-02T17:00:00Z,1,train,4,36.81,4
SUB-00141,2026-03-10T05:00:00Z,1,train,53,69.29,4
SUB-00142,2026-03-08T07:00:00Z,0,train,22,58.00,0
SUB-00143,2026-03-05T20:00:00Z,0,train,71,49.31,2
SUB-00144,2026-03-10T10:00:00Z,1,train,16,79.88,4
SUB-00145,2026-03-10T08:00:00Z,1,train,27,59.27,3
SUB-00146,2026-03-05T21:00:00Z,1,train,31,26.71,6
SUB-00147,2026-03-14T17:00:00Z,1,train,5,64.77,4
SUB-00148,2026-03-03T16:00:00Z,1,train,39,71.11,7
SUB-00149,2026-03-04T17:00:00Z,0,train,49,51.63,2
SUB-00150,2026-03-11T04:00:00Z,1,train,68,89.26,7
SUB-00151,2026-03-14T19:00:00Z,0,train,45,45.86,3
SUB-00152,2026-03-07T01:00:00Z,1,train,21,54.42,1
SUB-00153,2026-03-05T01:00:00Z,1,train,22,43.01,2
SUB-00154,2026-03-08T14:00:00Z,1,train,15,72.44,2
SUB-00155,2026-03-14T03:00:00Z,1,train,7,46.63,1
SUB-00156,2026-03-10T14:00:00Z,0,train,27,77.56,0
SUB-00157,2026-03-11T12:00:00Z,0,train,69,52.24,1
SUB-00158,2026-03-07T23:00:00Z,1,train,4,83.94,3
SUB-00159,2026-03-05T01:00:00Z,1,train,11,25.86,3
SUB-00160,2026-03-06T11:00:00Z,1,train,7,47.41,2
SUB-00161,2026-03-14T18:00:00Z,0,train,52,65.83,3
SUB-00162,2026-03-11T20:00:00Z,1,train,21,94.45,3
SUB-00163,2026-03-11T21:00:00Z,1,train,20,53.81,3
SUB-00164,2026-03-06T04:00:00Z,1,train,11,58.16,3
SUB-00165,2026-03-11T20:00:00Z,1,train,10,62.57,1
SUB-00166,2026-03-14T01:00:00Z,0,train,68,56.53,1
SUB-00167,2026-03-04T23:00:00Z,0,train,43,67.98,2
SUB-00168,2026-03-08T17:00:00Z,0,train,44,85.07,1
SUB-00169,2026-03-11T16:00:00Z,0,train,59,45.76,2
SUB-00170,2026-03-05T10:00:00Z,0,train,65,42.85,2
SUB-00171,2026-03-03T02:00:00Z,0,train,70,74.62,1
SUB-00172,2026-03-11T18:00:00Z,0,train,63,68.23,3
SUB-00173,2026-03-09T04:00:00Z,1,train,19,61.73,3
SUB-00174,2026-03-05T11:00:00Z,0,train,43,64.02,1
SUB-00175,2026-03-14T15:00:00Z,0,train,51,72.56,1
SUB-00176,2026-03-12T18:00:00Z,1,train,13,50.12,3
SUB-00177,2026-03-02T17:00:00Z,0,train,42,47.96,2
SUB-00178,2026-03-06T21:00:00Z,1,train,27,23.63,1
SUB-00179,2026-03-15T11:00:00Z,0,train,65,58.70,4
SUB-00180,2026-03-05T05:00:00Z,0,train,53,56.67,1
SUB-00181,2026-03-15T17:00:00Z,1,train,55,112.73,6
SUB-00182,2026-03-11T07:00:00Z,1,train,25,59.88,5
SUB-00183,2026-03-05T21:00:00Z,1,train,41,85.07,3
SUB-00184,2026-03-08T03:00:00Z,1,train,18,74.41,4
SUB-00185,2026-03-05T13:00:00Z,1,train,11,51.76,5
SUB-00186,2026-03-06T00:00:00Z,0,train,39,104.47,2
SUB-00187,2026-03-05T10:00:00Z,1,train,7,81.08,4
SUB-00188,2026-03-15T06:00:00Z,1,train,25,50.72,5
SUB-00189,2026-03-13T10:00:00Z,0,train,61,37.56,2
SUB-00190,2026-03-04T09:00:00Z,1,train,3,36.30,4
SUB-00191,2026-03-11T05:00:00Z,0,train,53,64.69,3
SUB-00192,2026-03-08T06:00:00Z,0,train,53,24.22,0
SUB-00193,2026-03-03T06:00:00Z,0,train,23,52.85,0
SUB-00194,2026-03-07T17:00:00Z,0,train,38,73.14,0
SUB-00195,2026-03-05T03:00:00Z,0,train,10,48.06,0
SUB-00196,2026-03-03T14:00:00Z,1,train,26,59.30,4
SUB-00197,2026-03-03T00:00:00Z,0,train,55,59.36,1
SUB-00198,2026-03-03T17:00:00Z,0,train,45,58.26,2
SUB-00199,2026-03-07T19:00:00Z,1,train,32,51.83,3
SUB-00200,2026-03-05T15:00:00Z,1,train,39,69.57,5
SUB-00201,2026-03-04T03:00:00Z,1,train,56,63.89,4
SUB-00202,2026-03-12T13:00:00Z,1,train,6,27.77,3
SUB-00203,2026-03-12T19:00:00Z,0,train,23,72.89,0
SUB-00204,2026-03-04T13:00:00Z,1,train,2,67.45,1
SUB-00205,2026-03-02T21:00:00Z,0,train,66,40.63,2
SUB-00206,2026-03-08T16:00:00Z,1,train,12,56.69,3
SUB-00207,2026-03-14T15:00:00Z,0,train,42,77.57,2
SUB-00208,2026-03-09T08:00:00Z,0,train,71,82.15,3
SUB-00209,2026-03-13T00:00:00Z,1,train,12,105.64,3
SUB-00210,2026-03-06T23:00:00Z,1,train,44,59.82,3
SUB-00211,2026-03-12T03:00:00Z,0,train,45,48.56,2
SUB-00212,2026-03-02T23:00:00Z,0,train,34,72.58,2
SUB-00213,2026-03-05T07:00:00Z,0,train,51,73.08,2
SUB-00214,2026-03-14T07:00:00Z,0,train,31,57.44,2
SUB-00215,2026-03-09T05:00:00Z,1,train,6,52.03,6
SUB-00216,2026-03-07T00:00:00Z,1,train,23,54.10,4
SUB-00217,2026-03-12T02:00:00Z,0,train,51,48.53,1
SUB-00218,2026-03-08T18:00:00Z,1,train,12,43.92,4
SUB-00219,2026-03-04T23:00:00Z,1,train,1,34.18,3
SUB-00220,2026-03-15T06:00:00Z,1,train,41,35.25,4
SUB-00221,2026-03-03T12:00:00Z,1,train,4,86.63,4
SUB-00222,2026-03-14T13:00:00Z,0,train,66,71.99,0
SUB-00223,2026-03-07T06:00:00Z,0,train,17,68.62,1
SUB-00224,2026-03-12T15:00:00Z,0,train,45,56.17,2
SUB-00225,2026-03-15T13:00:00Z,1,train,33,66.98,3
SUB-00226,2026-03-02T23:00:00Z,1,train,43,34.82,4
SUB-00227,2026-03-06T18:00:00Z,1,train,59,69.75,5
SUB-00228,2026-03-07T03:00:00Z,1,train,17,68.38,6
SUB-00229,2026-03-07T05:00:00Z,0,train,25,65.10,1
SUB-00230,2026-03-03T19:00:00Z,0,train,58,51.92,4
SUB-00231,2026-03-08T20:00:00Z,0,train,33,96.54,1
SUB-00232,2026-03-10T06:00:00Z,0,train,34,82.16,2
SUB-00233,2026-03-10T06:00:00Z,1,train,46,60.49,3
SUB-00234,2026-03-03T18:00:00Z,0,train,38,94.34,2
SUB-00235,2026-03-06T03:00:00Z,0,train,50,79.53,3
SUB-00236,2026-03-13T22:00:00Z,0,train,67,58.83,2
SUB-00237,2026-03-11T00:00:00Z,0,train,36,40.55,1
SUB-00238,2026-03-07T20:00:00Z,1,train,36,72.76,3
SUB-00239,2026-03-13T17:00:00Z,0,train,55,61.43,3
SUB-00240,2026-03-08T17:00:00Z,0,train,64,55.41,3
SUB-00241,2026-03-06T03:00:00Z,1,train,32,66.72,4
SUB-00242,2026-03-12T01:00:00Z,1,train,14,5.00,5
SUB-00243,2026-03-09T17:00:00Z,0,train,37,88.40,2
SUB-00244,2026-03-07T02:00:00Z,0,train,26,72.05,1
SUB-00245,2026-03-16T01:00:00Z,1,train,16,74.60,3
SUB-00246,2026-03-08T10:00:00Z,0,train,60,55.42,1
SUB-00247,2026-03-14T22:00:00Z,1,train,4,44.00,3
SUB-00248,2026-03-14T06:00:00Z,1,train,30,49.30,5
SUB-00249,2026-03-05T08:00:00Z,1,train,33,56.34,2
SUB-00250,2026-03-11T00:00:00Z,0,train,71,41.61,3
SUB-00251,2026-03-15T03:00:00Z,0,train,60,39.35,1
SUB-00252,2026-03-09T17:00:00Z,1,train,20,35.63,2
SUB-00253,2026-03-02T10:00:00Z,0,train,71,56.15,4
SUB-00254,2026-03-08T13:00:00Z,1,train,1,60.01,3
SUB-00255,2026-03-13T00:00:00Z,1,train,29,69.15,3
SUB-00256,2026-03-04T05:00:00Z,1,train,1,65.04,2
SUB-00257,2026-03-05T01:00:00Z,0,train,23,79.14,1
SUB-00258,2026-03-12T18:00:00Z,0,train,6,83.68,1
SUB-00259,2026-03-12T04:00:00Z,0,train,61,76.42,1
SUB-00260,2026-03-09T01:00:00Z,1,train,32,61.59,4
SUB-00261,2026-03-15T10:00:00Z,1,train,19,91.76,5
SUB-00262,2026-03-07T20:00:00Z,0,train,57,83.65,2
SUB-00263,2026-03-16T04:00:00Z,1,train,2,55.56,4
SUB-00264,2026-03-12T19:00:00Z,0,train,56,47.81,2
SUB-00265,2026-03-07T13:00:00Z,0,train,56,78.38,3
SUB-00266,2026-03-09T22:00:00Z,1,train,24,86.42,3
SUB-00267,2026-03-09T08:00:00Z,0,train,70,59.07,0
SUB-00268,2026-03-05T16:00:00Z,1,train,40,65.81,3
SUB-00269,2026-03-12T21:00:00Z,1,train,6,41.90,2
SUB-00270,2026-03-03T18:00:00Z,0,train,71,65.58,3
SUB-00271,2026-03-06T02:00:00Z,1,train,16,79.67,5
SUB-00272,2026-03-11T23:00:00Z,0,train,35,95.78,0
SUB-00273,2026-03-16T07:00:00Z,0,train,63,55.72,0
SUB-00274,2026-03-05T01:00:00Z,0,train,25,79.23,1
SUB-00275,2026-03-04T18:00:00Z,1,train,30,33.94,1
SUB-00276,2026-03-02T12:00:00Z,1,train,46,51.98,3
SUB-00277,2026-03-03T00:00:00Z,0,train,54,41.64,2
SUB-00278,2026-03-05T07:00:00Z,1,train,26,52.07,1
SUB-00279,2026-03-08T03:00:00Z,0,train,61,47.74,1
SUB-00280,2026-03-15T03:00:00Z,1,train,2,39.26,1
SUB-00281,2026-03-12T05:00:00Z,0,train,45,71.26,2
SUB-00282,2026-03-12T09:00:00Z,0,train,47,82.88,1
SUB-00283,2026-03-09T00:00:00Z,1,train,14,74.60,1
SUB-00284,2026-03-03T14:00:00Z,1,train,6,63.64,0
SUB-00285,2026-03-07T03:00:00Z,0,train,8,51.03,0
SUB-00286,2026-03-13T04:00:00Z,0,train,65,36.51,2
SUB-00287,2026-03-11T02:00:00Z,1,train,12,58.72,2
SUB-00288,2026-03-10T04:00:00Z,1,train,5,30.19,0
SUB-00289,2026-03-08T13:00:00Z,1,train,12,21.89,4
SUB-00290,2026-03-10T10:00:00Z,1,train,26,80.63,5
SUB-00291,2026-03-03T21:00:00Z,0,train,58,18.18,0
SUB-00292,2026-03-04T22:00:00Z,0,train,70,65.71,3
SUB-00293,2026-03-13T06:00:00Z,1,train,15,73.86,3
SUB-00294,2026-03-02T11:00:00Z,1,train,27,83.35,3
SUB-00295,2026-03-09T05:00:00Z,1,train,33,20.79,4
SUB-00296,2026-03-13T10:00:00Z,1,train,29,52.61,2
SUB-00297,2026-03-02T15:00:00Z,1,train,36,64.05,3
SUB-00298,2026-03-10T02:00:00Z,1,train,44,48.44,4
SUB-00299,2026-03-10T14:00:00Z,0,train,52,59.13,2
SUB-00300,2026-03-11T01:00:00Z,0,train,50,41.47,1
SUB-00301,2026-03-12T01:00:00Z,0,train,46,72.66,2
SUB-00302,2026-03-03T13:00:00Z,1,train,20,68.02,1
SUB-00303,2026-03-03T08:00:00Z,0,train,10,58.91,1
SUB-00304,2026-03-15T16:00:00Z,1,train,22,47.19,7
SUB-00305,2026-03-03T13:00:00Z,0,train,22,56.05,0
SUB-00306,2026-03-04T16:00:00Z,1,train,13,57.70,5
SUB-00307,2026-03-07T12:00:00Z,1,train,23,40.87,3
SUB-00308,2026-03-09T04:00:00Z,1,train,3,43.29,3
SUB-00309,2026-03-05T01:00:00Z,1,train,20,68.60,2
SUB-00310,2026-03-16T03:00:00Z,0,train,37,84.94,2
SUB-00311,2026-03-08T05:00:00Z,1,train,7,38.16,1
SUB-00312,2026-03-05T16:00:00Z,1,train,52,53.42,3
SUB-00313,2026-03-05T15:00:00Z,0,train,64,33.34,2
SUB-00314,2026-03-07T10:00:00Z,0,train,60,5.00,0
SUB-00315,2026-03-09T11:00:00Z,0,train,66,49.74,2
SUB-00316,2026-03-04T11:00:00Z,0,train,71,65.56,2
SUB-00317,2026-03-10T14:00:00Z,0,train,58,102.03,1
SUB-00318,2026-03-04T12:00:00Z,0,train,46,55.76,1
SUB-00319,2026-03-07T10:00:00Z,1,train,49,53.45,3
SUB-00320,2026-03-04T08:00:00Z,1,train,24,76.52,3
SUB-00321,2026-03-03T21:00:00Z,1,train,41,39.44,5
SUB-00322,2026-03-07T10:00:00Z,0,train,29,64.20,1
SUB-00323,2026-03-13T00:00:00Z,1,train,61,32.56,3
SUB-00324,2026-03-05T03:00:00Z,0,train,46,59.15,1
SUB-00325,2026-03-09T16:00:00Z,1,train,70,28.08,9
SUB-00326,2026-03-06T23:00:00Z,1,train,61,59.32,5
SUB-00327,2026-03-14T21:00:00Z,1,train,68,29.18,4
SUB-00328,2026-03-10T00:00:00Z,1,train,8,38.22,2
SUB-00329,2026-03-08T15:00:00Z,1,train,20,67.72,3
SUB-00330,2026-03-04T19:00:00Z,0,train,46,53.55,0
SUB-00331,2026-03-08T06:00:00Z,1,train,6,75.84,2
SUB-00332,2026-03-03T06:00:00Z,1,train,2,33.50,4
SUB-00333,2026-03-12T00:00:00Z,0,train,43,74.24,1
SUB-00334,2026-03-15T16:00:00Z,1,train,21,59.11,2
SUB-00335,2026-03-13T22:00:00Z,0,train,58,67.37,1
SUB-00336,2026-03-12T16:00:00Z,1,train,2,65.50,2
SUB-00337,2026-03-05T18:00:00Z,0,train,48,100.42,1
SUB-00338,2026-03-07T09:00:00Z,1,train,37,74.94,5
SUB-00339,2026-03-13T09:00:00Z,0,train,63,81.74,0
SUB-00340,2026-03-12T15:00:00Z,1,train,33,25.40,2
SUB-00341,2026-03-14T10:00:00Z,1,train,20,75.14,2
SUB-00342,2026-03-03T19:00:00Z,1,train,54,37.60,6
SUB-00343,2026-03-03T04:00:00Z,0,train,31,47.90,2
SUB-00344,2026-03-06T05:00:00Z,1,train,51,72.11,3
SUB-00345,2026-03-10T19:00:00Z,0,train,51,96.18,1
SUB-00346,2026-03-10T10:00:00Z,0,train,59,55.70,1
SUB-00347,2026-03-12T00:00:00Z,0,train,65,50.87,2
SUB-00348,2026-03-05T23:00:00Z,0,train,52,42.61,2
SUB-00349,2026-03-08T17:00:00Z,1,train,22,65.14,1
SUB-00350,2026-03-14T21:00:00Z,1,train,56,15.34,8
SUB-00351,2026-03-08T17:00:00Z,0,train,60,33.27,3
SUB-00352,2026-03-13T03:00:00Z,0,train,33,60.52,1
SUB-00353,2026-03-11T09:00:00Z,1,train,25,60.73,4
SUB-00354,2026-03-12T21:00:00Z,1,train,1,73.50,2
SUB-00355,2026-03-03T21:00:00Z,0,train,28,59.57,2
SUB-00356,2026-03-16T03:00:00Z,1,train,22,60.87,3
SUB-00357,2026-03-05T19:00:00Z,0,train,29,51.94,1
SUB-00358,2026-03-13T07:00:00Z,0,train,67,64.48,4
SUB-00359,2026-03-02T09:00:00Z,1,train,51,35.52,2
SUB-00360,2026-03-06T13:00:00Z,1,train,68,33.11,4
SUB-00361,2026-03-13T15:00:00Z,1,train,4,42.31,3
SUB-00362,2026-03-08T22:00:00Z,1,train,9,34.58,5
SUB-00363,2026-03-14T22:00:00Z,1,train,1,69.27,1
SUB-00364,2026-03-05T19:00:00Z,1,train,68,55.15,8
SUB-00365,2026-03-03T08:00:00Z,1,train,21,74.63,2
SUB-00366,2026-03-02T12:00:00Z,0,train,71,27.64,1
SUB-00367,2026-03-11T08:00:00Z,0,train,26,71.04,2
SUB-00368,2026-03-04T11:00:00Z,1,train,45,47.96,6
SUB-00369,2026-03-06T03:00:00Z,0,train,50,60.87,2
SUB-00370,2026-03-12T00:00:00Z,1,train,1,30.38,1
SUB-00371,2026-03-09T10:00:00Z,0,train,63,40.48,1
SUB-00372,2026-03-11T07:00:00Z,0,train,44,70.26,1
SUB-00373,2026-03-05T01:00:00Z,0,train,59,92.90,2
SUB-00374,2026-03-09T19:00:00Z,0,train,6,87.64,1
SUB-00375,2026-03-11T06:00:00Z,1,train,15,44.59,2
SUB-00376,2026-03-09T21:00:00Z,1,train,28,35.90,1
SUB-00377,2026-03-10T02:00:00Z,0,train,41,110.12,1
SUB-00378,2026-03-05T09:00:00Z,1,train,15,64.63,2
SUB-00379,2026-03-14T06:00:00Z,1,train,26,57.50,3
SUB-00380,2026-03-12T18:00:00Z,0,train,68,64.20,1
SUB-00381,2026-03-10T02:00:00Z,0,train,40,69.87,1
SUB-00382,2026-03-12T20:00:00Z,1,train,68,26.03,4
SUB-00383,2026-03-02T08:00:00Z,0,train,46,44.50,1
SUB-00384,2026-03-05T14:00:00Z,1,train,11,58.04,3
SUB-00385,2026-03-09T09:00:00Z,1,train,1,59.12,3
SUB-00386,2026-03-10T07:00:00Z,0,train,31,62.46,2
SUB-00387,2026-03-13T18:00:00Z,1,train,28,39.30,2
SUB-00388,2026-03-05T07:00:00Z,1,train,63,31.85,3
SUB-00389,2026-03-09T10:00:00Z,0,train,30,81.69,2
SUB-00390,2026-03-13T06:00:00Z,1,train,12,57.84,3
SUB-00391,2026-03-08T00:00:00Z,0,train,65,53.45,1
SUB-00392,2026-03-12T07:00:00Z,0,train,71,62.43,1
SUB-00393,2026-03-04T06:00:00Z,0,train,64,66.22,1
SUB-00394,2026-03-04T07:00:00Z,0,train,68,75.02,1
SUB-00395,2026-03-06T13:00:00Z,1,train,14,34.95,1
SUB-00396,2026-03-06T02:00:00Z,0,train,53,65.72,0
SUB-00397,2026-03-07T11:00:00Z,1,train,26,58.09,2
SUB-00398,2026-03-07T22:00:00Z,0,train,28,78.96,1
SUB-00399,2026-03-10T04:00:00Z,1,train,25,17.88,2
SUB-00400,2026-03-03T23:00:00Z,1,train,37,68.03,4
SUB-00401,2026-03-02T14:00:00Z,0,train,64,113.51,1
SUB-00402,2026-03-05T15:00:00Z,1,train,13,47.31,4
SUB-00403,2026-03-05T02:00:00Z,0,train,44,63.92,1
SUB-00404,2026-03-13T09:00:00Z,0,train,17,89.78,2
SUB-00405,2026-03-05T23:00:00Z,1,train,53,54.47,4
SUB-00406,2026-03-08T01:00:00Z,1,train,24,90.39,2
SUB-00407,2026-03-08T08:00:00Z,0,train,32,63.60,0
