subscriber,recorded_at,plan_changes_to_date
SUB-00116,2026-03-04T05:00:00Z,0
SUB-00116,2026-03-17T05:00:00Z,1
SUB-00117,2026-01-24T21:00:00Z,0
SUB-00117,2026-03-07T21:00:00Z,0
SUB-00117,2026-03-15T21:00:00Z,1
SUB-00118,2026-01-27T15:00:00Z,0
SUB-00118,2026-03-10T15:00:00Z,0
SUB-00118,2026-04-07T15:00:00Z,3
SUB-00119,2026-01-24T23:00:00Z,0
SUB-00119,2026-03-07T23:00:00Z,1
SUB-00120,2026-01-29T13:00:00Z,0
SUB-00120,2026-03-12T13:00:00Z,0
SUB-00121,2026-01-19T05:00:00Z,0
SUB-00121,2026-03-02T05:00:00Z,1
SUB-00121,2026-03-24T05:00:00Z,4
SUB-00122,2026-01-21T12:00:00Z,0
SUB-00122,2026-03-04T12:00:00Z,1
SUB-00122,2026-03-28T12:00:00Z,6
SUB-00123,2026-01-28T22:00:00Z,0
SUB-00123,2026-03-11T22:00:00Z,0
SUB-00123,2026-03-19T22:00:00Z,2
SUB-00124,2026-01-27T11:00:00Z,1
SUB-00124,2026-03-10T11:00:00Z,2
SUB-00124,2026-03-16T11:00:00Z,4
SUB-00125,2026-01-17T23:00:00Z,0
SUB-00125,2026-02-28T23:00:00Z,1
SUB-00126,2026-01-26T10:00:00Z,0
SUB-00126,2026-03-09T10:00:00Z,0
SUB-00127,2026-01-27T08:00:00Z,0
SUB-00127,2026-03-10T08:00:00Z,1
SUB-00128,2026-01-25T21:00:00Z,0
SUB-00128,2026-03-08T21:00:00Z,1
SUB-00128,2026-03-14T21:00:00Z,4
SUB-00129,2026-01-26T22:00:00Z,0
SUB-00129,2026-03-09T22:00:00Z,0
SUB-00129,2026-03-30T22:00:00Z,2
SUB-00130,2026-01-24T06:00:00Z,0
SUB-00130,2026-03-07T06:00:00Z,0
SUB-00131,2026-01-19T19:00:00Z,0
SUB-00131,2026-03-02T19:00:00Z,0
SUB-00131,2026-03-26T19:00:00Z,1
SUB-00132,2026-01-28T17:00:00Z,0
SUB-00132,2026-03-11T17:00:00Z,0
SUB-00132,2026-03-31T17:00:00Z,2
SUB-00133,2026-01-21T10:00:00Z,0
SUB-00133,2026-03-04T10:00:00Z,0
SUB-00133,2026-03-17T10:00:00Z,4
SUB-00134,2026-01-16T23:00:00Z,0
SUB-00134,2026-02-27T23:00:00Z,0
SUB-00134,2026-03-19T23:00:00Z,3
SUB-00135,2026-01-27T15:00:00Z,1
SUB-00135,2026-03-10T15:00:00Z,2
SUB-00135,2026-03-23T15:00:00Z,8
SUB-00136,2026-01-17T20:00:00Z,0
SUB-00136,2026-02-28T20:00:00Z,1
SUB-00136,2026-03-22T20:00:00Z,5
SUB-00137,2026-01-21T08:00:00Z,0
SUB-00137,2026-03-04T08:00:00Z,0
SUB-00137,2026-03-27T08:00:00Z,5
SUB-00138,2026-01-19T03:00:00Z,0
SUB-00138,2026-03-02T03:00:00Z,0
SUB-00139,2026-01-17T23:00:00Z,0
SUB-00139,2026-02-28T23:00:00Z,0
SUB-00140,2026-01-16T17:00:00Z,0
SUB-00140,2026-02-27T17:00:00Z,0
SUB-00140,2026-03-14T17:00:00Z,5
SUB-00141,2026-01-24T05:00:00Z,0
SUB-00141,2026-03-07T05:00:00Z,0
SUB-00141,2026-03-26T05:00:00Z,1
SUB-00142,2026-01-22T07:00:00Z,0
SUB-00142,2026-03-05T07:00:00Z,1
SUB-00143,2026-01-19T20:00:00Z,2
SUB-00143,2026-03-02T20:00:00Z,3
SUB-00144,2026-01-24T10:00:00Z,0
SUB-00144,2026-03-07T10:00:00Z,1
SUB-00144,2026-03-13T10:00:00Z,3
SUB-00145,2026-01-24T08:00:00Z,0
SUB-00145,2026-03-07T08:00:00Z,0
SUB-00145,2026-03-29T08:00:00Z,4
SUB-00146,2026-01-19T21:00:00Z,0
SUB-00146,2026-03-02T21:00:00Z,0
SUB-00146,2026-03-21T21:00:00Z,6
SUB-00147,2026-01-28T17:00:00Z,0
SUB-00147,2026-03-11T17:00:00Z,0
SUB-00147,2026-04-03T17:00:00Z,2
SUB-00148,2026-01-17T16:00:00Z,0
SUB-00148,2026-02-28T16:00:00Z,0
SUB-00148,2026-03-27T16:00:00Z,7
SUB-00149,2026-01-18T17:00:00Z,0
SUB-00149,2026-03-01T17:00:00Z,0
SUB-00149,2026-03-16T17:00:00Z,1
SUB-00150,2026-01-25T04:00:00Z,0
SUB-00150,2026-03-08T04:00:00Z,0
SUB-00150,2026-03-17T04:00:00Z,2
SUB-00151,2026-01-28T19:00:00Z,0
SUB-00151,2026-03-11T19:00:00Z,1
SUB-00152,2026-01-21T01:00:00Z,0
SUB-00152,2026-03-04T01:00:00Z,0
SUB-00152,2026-03-31T01:00:00Z,4
SUB-00153,2026-01-19T01:00:00Z,1
SUB-00153,2026-03-02T01:00:00Z,2
SUB-00153,2026-03-09T01:00:00Z,5
SUB-00154,2026-01-22T14:00:00Z,0
SUB-00154,2026-03-05T14:00:00Z,0
SUB-00154,2026-03-30T14:00:00Z,6
SUB-00155,2026-01-28T03:00:00Z,0
SUB-00155,2026-03-11T03:00:00Z,0
SUB-00155,2026-03-26T03:00:00Z,5
SUB-00156,2026-01-24T14:00:00Z,0
SUB-00156,2026-03-07T14:00:00Z,1
SUB-00157,2026-01-25T12:00:00Z,0
SUB-00157,2026-03-08T12:00:00Z,1
SUB-00158,2026-01-21T23:00:00Z,1
SUB-00158,2026-03-04T23:00:00Z,2
SUB-00158,2026-03-24T23:00:00Z,5
SUB-00159,2026-01-19T01:00:00Z,0
SUB-00159,2026-03-02T01:00:00Z,0
SUB-00159,2026-03-11T01:00:00Z,4
SUB-00160,2026-01-20T11:00:00Z,0
SUB-00160,2026-03-03T11:00:00Z,0
SUB-00160,2026-03-30T11:00:00Z,5
SUB-00161,2026-01-28T18:00:00Z,0
SUB-00161,2026-03-11T18:00:00Z,1
SUB-00162,2026-01-25T20:00:00Z,0
SUB-00162,2026-03-08T20:00:00Z,0
SUB-00162,2026-04-06T20:00:00Z,5
SUB-00163,2026-01-25T21:00:00Z,0
SUB-00163,2026-03-08T21:00:00Z,1
SUB-00163,2026-04-02T21:00:00Z,7
SUB-00164,2026-01-20T04:00:00Z,0
SUB-00164,2026-03-03T04:00:00Z,1
SUB-00164,2026-03-30T04:00:00Z,5
SUB-00165,2026-01-25T20:00:00Z,0
SUB-00165,2026-03-08T20:00:00Z,1
SUB-00165,2026-03-22T20:00:00Z,6
SUB-00166,2026-01-28T01:00:00Z,0
SUB-00166,2026-03-11T01:00:00Z,0
SUB-00167,2026-01-18T23:00:00Z,0
SUB-00167,2026-03-01T23:00:00Z,1
SUB-00168,2026-01-22T17:00:00Z,0
SUB-00168,2026-03-05T17:00:00Z,1
SUB-00169,2026-01-25T16:00:00Z,0
SUB-00169,2026-03-08T16:00:00Z,1
SUB-00169,2026-04-01T16:00:00Z,2
SUB-00170,2026-01-19T10:00:00Z,0
SUB-00170,2026-03-02T10:00:00Z,0
SUB-00171,2026-01-17T02:00:00Z,0
SUB-00171,2026-02-28T02:00:00Z,0
SUB-00172,2026-01-25T18:00:00Z,0
SUB-00172,2026-03-08T18:00:00Z,1
SUB-00173,2026-01-23T04:00:00Z,0
SUB-00173,2026-03-06T04:00:00Z,1
SUB-00173,2026-03-29T04:00:00Z,8
SUB-00174,2026-01-19T11:00:00Z,0
SUB-00174,2026-03-02T11:00:00Z,0
SUB-00175,2026-01-28T15:00:00Z,0
SUB-00175,2026-03-11T15:00:00Z,0
SUB-00176,2026-01-26T18:00:00Z,0
SUB-00176,2026-03-09T18:00:00Z,0
SUB-00176,2026-04-05T18:00:00Z,5
SUB-00177,2026-01-16T17:00:00Z,0
SUB-00177,2026-02-27T17:00:00Z,0
SUB-00177,2026-03-04T17:00:00Z,1
SUB-00178,2026-01-20T21:00:00Z,0
SUB-00178,2026-03-03T21:00:00Z,1
SUB-00178,2026-03-14T21:00:00Z,5
SUB-00179,2026-01-29T11:00:00Z,0
SUB-00179,2026-03-12T11:00:00Z,0
SUB-00180,2026-01-19T05:00:00Z,0
SUB-00180,2026-03-02T05:00:00Z,0
SUB-00181,2026-01-29T17:00:00Z,0
SUB-00181,2026-03-12T17:00:00Z,0
SUB-00181,2026-03-22T17:00:00Z,4
SUB-00182,2026-01-25T07:00:00Z,0
SUB-00182,2026-03-08T07:00:00Z,0
SUB-00182,2026-03-19T07:00:00Z,3
SUB-00183,2026-01-19T21:00:00Z,0
SUB-00183,2026-03-02T21:00:00Z,0
SUB-00183,2026-03-21T21:00:00Z,3
SUB-00184,2026-01-22T03:00:00Z,0
SUB-00184,2026-03-05T03:00:00Z,0
SUB-00184,2026-03-30T03:00:00Z,2
SUB-00185,2026-01-19T13:00:00Z,0
SUB-00185,2026-03-02T13:00:00Z,1
SUB-00185,2026-03-17T13:00:00Z,8
SUB-00186,2026-01-20T00:00:00Z,0
SUB-00186,2026-03-03T00:00:00Z,1
SUB-00187,2026-01-19T10:00:00Z,0
SUB-00187,2026-03-02T10:00:00Z,0
SUB-00187,2026-03-31T10:00:00Z,6
SUB-00188,2026-01-29T06:00:00Z,0
SUB-00188,2026-03-12T06:00:00Z,0
SUB-00188,2026-03-30T06:00:00Z,5
SUB-00189,2026-01-27T10:00:00Z,1
SUB-00189,2026-03-10T10:00:00Z,2
SUB-00190,2026-01-18T09:00:00Z,0
SUB-00190,2026-03-01T09:00:00Z,0
SUB-00190,2026-03-15T09:00:00Z,3
SUB-00191,2026-01-25T05:00:00Z,0
SUB-00191,2026-03-08T05:00:00Z,1
SUB-00192,2026-01-22T06:00:00Z,0
SUB-00192,2026-03-05T06:00:00Z,0
SUB-00193,2026-01-17T06:00:00Z,0
SUB-00193,2026-02-28T06:00:00Z,1
SUB-00194,2026-01-21T17:00:00Z,0
SUB-00194,2026-03-04T17:00:00Z,1
SUB-00195,2026-01-19T03:00:00Z,0
SUB-00195,2026-03-02T03:00:00Z,0
SUB-00196,2026-01-17T14:00:00Z,0
SUB-00196,2026-02-28T14:00:00Z,1
SUB-00196,2026-03-07T14:00:00Z,6
SUB-00197,2026-01-17T00:00:00Z,0
SUB-00197,2026-02-28T00:00:00Z,0
SUB-00198,2026-01-17T17:00:00Z,0
SUB-00198,2026-02-28T17:00:00Z,0
SUB-00199,2026-01-21T19:00:00Z,1
SUB-00199,2026-03-04T19:00:00Z,2
SUB-00199,2026-03-27T19:00:00Z,4
SUB-00200,2026-01-19T15:00:00Z,0
SUB-00200,2026-03-02T15:00:00Z,1
SUB-00200,2026-03-20T15:00:00Z,4
SUB-00201,2026-01-18T03:00:00Z,0
SUB-00201,2026-03-01T03:00:00Z,1
SUB-00201,2026-03-28T03:00:00Z,5
SUB-00202,2026-01-26T13:00:00Z,1
SUB-00202,2026-03-09T13:00:00Z,2
SUB-00202,2026-03-29T13:00:00Z,6
SUB-00203,2026-01-26T19:00:00Z,1
SUB-00203,2026-03-09T19:00:00Z,2
SUB-00204,2026-01-18T13:00:00Z,0
SUB-00204,2026-03-01T13:00:00Z,1
SUB-00204,2026-03-29T13:00:00Z,7
SUB-00205,2026-01-16T21:00:00Z,0
SUB-00205,2026-02-27T21:00:00Z,0
SUB-00206,2026-01-22T16:00:00Z,0
SUB-00206,2026-03-05T16:00:00Z,0
SUB-00206,2026-03-20T16:00:00Z,3
SUB-00207,2026-01-28T15:00:00Z,0
SUB-00207,2026-03-11T15:00:00Z,0
SUB-00208,2026-01-23T08:00:00Z,0
SUB-00208,2026-03-06T08:00:00Z,0
SUB-00209,2026-01-27T00:00:00Z,1
SUB-00209,2026-03-10T00:00:00Z,2
SUB-00209,2026-03-20T00:00:00Z,7
SUB-00210,2026-01-20T23:00:00Z,0
SUB-00210,2026-03-03T23:00:00Z,0
SUB-00210,2026-03-18T23:00:00Z,3
SUB-00211,2026-01-26T03:00:00Z,0
SUB-00211,2026-03-09T03:00:00Z,1
SUB-00212,2026-01-16T23:00:00Z,1
SUB-00212,2026-02-27T23:00:00Z,2
SUB-00213,2026-01-19T07:00:00Z,0
SUB-00213,2026-03-02T07:00:00Z,1
SUB-00214,2026-01-28T07:00:00Z,0
SUB-00214,2026-03-11T07:00:00Z,0
SUB-00215,2026-01-23T05:00:00Z,0
SUB-00215,2026-03-06T05:00:00Z,0
SUB-00215,2026-03-16T05:00:00Z,3
SUB-00216,2026-01-21T00:00:00Z,0
SUB-00216,2026-03-04T00:00:00Z,0
SUB-00216,2026-03-23T00:00:00Z,3
SUB-00217,2026-01-26T02:00:00Z,0
SUB-00217,2026-03-09T02:00:00Z,0
SUB-00218,2026-01-22T18:00:00Z,0
SUB-00218,2026-03-05T18:00:00Z,0
SUB-00218,2026-03-24T18:00:00Z,4
SUB-00219,2026-01-18T23:00:00Z,0
SUB-00219,2026-03-01T23:00:00Z,0
SUB-00219,2026-03-19T23:00:00Z,4
SUB-00220,2026-01-29T06:00:00Z,0
SUB-00220,2026-03-12T06:00:00Z,0
SUB-00220,2026-04-03T06:00:00Z,6
SUB-00221,2026-01-17T12:00:00Z,0
SUB-00221,2026-02-28T12:00:00Z,0
SUB-00221,2026-03-27T12:00:00Z,2
SUB-00222,2026-01-28T13:00:00Z,0
SUB-00222,2026-03-11T13:00:00Z,0
SUB-00223,2026-01-21T06:00:00Z,0
SUB-00223,2026-03-04T06:00:00Z,1
SUB-00224,2026-01-26T15:00:00Z,1
SUB-00224,2026-03-09T15:00:00Z,2
SUB-00225,2026-01-29T13:00:00Z,0
