cust,as_of,plan_changes_to_date,support_tickets_snapshot,logins_30d,tenure_snapshot,spend_snapshot
SUB-00043,2026-03-10T21:00:00Z,0,3,6,22,82.20
SUB-00043,2026-03-30T21:00:00Z,5,3,6,22,82.20
SUB-00044,2026-01-19T20:00:00Z,0,4,6,68,64.95
SUB-00044,2026-03-02T20:00:00Z,1,4,6,68,64.95
SUB-00045,2026-01-18T04:00:00Z,0,4,6,11,52.22
SUB-00045,2026-03-01T04:00:00Z,0,4,6,11,52.22
SUB-00045,2026-03-22T04:00:00Z,5,4,6,11,52.22
SUB-00046,2026-01-18T22:00:00Z,0,4,6,9,69.72
SUB-00046,2026-03-01T22:00:00Z,0,4,6,9,69.72
SUB-00046,2026-03-24T22:00:00Z,4,4,6,9,69.72
SUB-00047,2026-01-26T10:00:00Z,0,1,6,5,72.28
SUB-00047,2026-03-09T10:00:00Z,0,1,6,5,72.28
SUB-00047,2026-04-03T10:00:00Z,4,1,6,5,72.28
SUB-00048,2026-01-29T04:00:00Z,1,3,6,63,75.04
SUB-00048,2026-03-12T04:00:00Z,2,3,6,63,75.04
SUB-00049,2026-01-23T11:00:00Z,0,3,6,5,60.03
SUB-00049,2026-03-06T11:00:00Z,0,3,6,5,60.03
SUB-00049,2026-03-24T11:00:00Z,7,3,6,5,60.03
SUB-00050,2026-01-16T17:00:00Z,0,0,6,5,70.61
SUB-00050,2026-02-27T17:00:00Z,0,0,6,5,70.61
SUB-00051,2026-01-17T20:00:00Z,0,0,6,56,56.95
SUB-00051,2026-02-28T20:00:00Z,0,0,6,56,56.95
SUB-00052,2026-01-17T05:00:00Z,0,3,6,19,60.43
SUB-00052,2026-02-28T05:00:00Z,0,3,6,19,60.43
SUB-00052,2026-03-14T05:00:00Z,4,3,6,19,60.43
SUB-00053,2026-01-23T21:00:00Z,0,2,6,28,91.57
SUB-00053,2026-03-06T21:00:00Z,0,2,6,28,91.57
SUB-00053,2026-03-16T21:00:00Z,6,2,6,28,91.57
SUB-00054,2026-01-23T23:00:00Z,0,1,6,12,46.80
SUB-00054,2026-03-06T23:00:00Z,0,1,6,12,46.80
SUB-00054,2026-03-31T23:00:00Z,4,1,6,12,46.80
SUB-00055,2026-01-21T18:00:00Z,0,1,6,29,26.52
SUB-00055,2026-03-04T18:00:00Z,0,1,6,29,26.52
SUB-00056,2026-01-26T06:00:00Z,0,2,6,68,53.57
SUB-00056,2026-03-09T06:00:00Z,1,2,6,68,53.57
SUB-00056,2026-04-06T06:00:00Z,2,2,6,68,53.57
SUB-00057,2026-01-20T06:00:00Z,2,3,6,17,83.23
SUB-00057,2026-03-03T06:00:00Z,3,3,6,17,83.23
SUB-00057,2026-03-23T06:00:00Z,7,3,6,17,83.23
SUB-00058,2026-01-25T04:00:00Z,0,2,6,26,75.53
SUB-00058,2026-03-08T04:00:00Z,0,2,6,26,75.53
SUB-00059,2026-01-26T06:00:00Z,0,1,6,60,30.99
SUB-00059,2026-03-09T06:00:00Z,1,1,6,60,30.99
SUB-00060,2026-01-23T16:00:00Z,0,4,6,33,78.70
SUB-00060,2026-03-06T16:00:00Z,0,4,6,33,78.70
SUB-00061,2026-01-28T21:00:00Z,0,1,6,60,42.18
SUB-00061,2026-03-11T21:00:00Z,0,1,6,60,42.18
SUB-00062,2026-01-16T12:00:00Z,0,5,6,17,53.31
SUB-00062,2026-02-27T12:00:00Z,1,5,6,17,53.31
SUB-00062,2026-03-17T12:00:00Z,3,5,6,17,53.31
SUB-00063,2026-01-26T07:00:00Z,0,1,6,25,56.21
SUB-00063,2026-03-09T07:00:00Z,0,1,6,25,56.21
SUB-00063,2026-03-24T07:00:00Z,2,1,6,25,56.21
SUB-00064,2026-01-26T02:00:00Z,0,1,6,61,61.86
SUB-00064,2026-03-09T02:00:00Z,0,1,6,61,61.86
SUB-00065,2026-01-24T20:00:00Z,0,0,6,61,59.04
SUB-00065,2026-03-07T20:00:00Z,1,0,6,61,59.04
SUB-00066,2026-01-18T01:00:00Z,0,4,6,18,55.49
SUB-00066,2026-03-01T01:00:00Z,0,4,6,18,55.49
SUB-00066,2026-03-26T01:00:00Z,1,4,6,18,55.49
SUB-00067,2026-01-22T12:00:00Z,1,1,6,71,50.21
SUB-00067,2026-03-05T12:00:00Z,2,1,6,71,50.21
SUB-00068,2026-01-17T11:00:00Z,0,3,6,32,52.26
SUB-00068,2026-02-28T11:00:00Z,0,3,6,32,52.26
SUB-00068,2026-03-18T11:00:00Z,2,3,6,32,52.26
SUB-00069,2026-01-22T12:00:00Z,0,5,6,34,64.22
SUB-00069,2026-03-05T12:00:00Z,1,5,6,34,64.22
SUB-00069,2026-03-24T12:00:00Z,7,5,6,34,64.22
SUB-00070,2026-01-24T10:00:00Z,0,3,6,10,29.38
SUB-00070,2026-03-07T10:00:00Z,0,3,6,10,29.38
SUB-00070,2026-04-02T10:00:00Z,2,3,6,10,29.38
SUB-00071,2026-01-21T23:00:00Z,0,3,6,50,90.37
SUB-00071,2026-03-04T23:00:00Z,1,3,6,50,90.37
SUB-00072,2026-01-16T09:00:00Z,1,4,6,42,62.52
SUB-00072,2026-02-27T09:00:00Z,2,4,6,42,62.52
SUB-00072,2026-03-21T09:00:00Z,3,4,6,42,62.52
SUB-00073,2026-01-25T02:00:00Z,0,3,6,64,79.20
SUB-00073,2026-03-08T02:00:00Z,0,3,6,64,79.20
SUB-00074,2026-01-29T22:00:00Z,0,4,6,61,83.53
SUB-00074,2026-03-12T22:00:00Z,0,4,6,61,83.53
SUB-00075,2026-01-21T21:00:00Z,0,1,6,16,42.78
SUB-00075,2026-03-04T21:00:00Z,0,1,6,16,42.78
SUB-00075,2026-03-25T21:00:00Z,6,1,6,16,42.78
SUB-00076,2026-01-24T08:00:00Z,0,2,6,8,71.72
SUB-00076,2026-03-07T08:00:00Z,0,2,6,8,71.72
SUB-00076,2026-03-18T08:00:00Z,3,2,6,8,71.72
SUB-00077,2026-01-25T02:00:00Z,0,3,6,6,48.80
SUB-00077,2026-03-08T02:00:00Z,0,3,6,6,48.80
SUB-00077,2026-03-18T02:00:00Z,2,3,6,6,48.80
SUB-00078,2026-01-20T08:00:00Z,0,1,6,20,88.81
SUB-00078,2026-03-03T08:00:00Z,0,1,6,20,88.81
SUB-00079,2026-01-23T12:00:00Z,0,3,6,23,55.20
SUB-00079,2026-03-06T12:00:00Z,0,3,6,23,55.20
SUB-00079,2026-03-14T12:00:00Z,4,3,6,23,55.20
SUB-00080,2026-01-16T21:00:00Z,0,1,6,54,116.46
SUB-00080,2026-02-27T21:00:00Z,0,1,6,54,116.46
SUB-00081,2026-01-24T09:00:00Z,0,5,6,30,39.47
SUB-00081,2026-03-07T09:00:00Z,0,5,6,30,39.47
SUB-00081,2026-03-29T09:00:00Z,4,5,6,30,39.47
SUB-00082,2026-01-20T13:00:00Z,0,1,6,26,34.58
SUB-00082,2026-03-03T13:00:00Z,0,1,6,26,34.58
SUB-00083,2026-01-19T08:00:00Z,0,5,6,69,25.51
SUB-00083,2026-03-02T08:00:00Z,0,5,6,69,25.51
SUB-00083,2026-03-19T08:00:00Z,5,5,6,69,25.51
SUB-00084,2026-01-29T08:00:00Z,0,2,6,5,69.25
SUB-00084,2026-03-12T08:00:00Z,0,2,6,5,69.25
SUB-00084,2026-03-23T08:00:00Z,3,2,6,5,69.25
SUB-00085,2026-01-17T11:00:00Z,0,3,6,49,59.93
SUB-00085,2026-02-28T11:00:00Z,0,3,6,49,59.93
SUB-00085,2026-03-26T11:00:00Z,3,3,6,49,59.93
SUB-00086,2026-01-26T16:00:00Z,0,3,6,7,73.70
SUB-00086,2026-03-09T16:00:00Z,0,3,6,7,73.70
SUB-00086,2026-03-26T16:00:00Z,2,3,6,7,73.70
SUB-00087,2026-01-20T06:00:00Z,0,0,6,69,74.63
SUB-00087,2026-03-03T06:00:00Z,0,0,6,69,74.63
SUB-00088,2026-01-21T14:00:00Z,0,1,6,68,76.34
SUB-00088,2026-03-04T14:00:00Z,0,1,6,68,76.34
SUB-00089,2026-01-22T05:00:00Z,0,2,6,64,38.60
SUB-00089,2026-03-05T05:00:00Z,0,2,6,64,38.60
SUB-00090,2026-01-27T16:00:00Z,0,5,6,49,40.25
SUB-00090,2026-03-10T16:00:00Z,0,5,6,49,40.25
SUB-00090,2026-03-17T16:00:00Z,3,5,6,49,40.25
SUB-00091,2026-01-19T11:00:00Z,0,4,6,22,45.67
SUB-00091,2026-03-02T11:00:00Z,0,4,6,22,45.67
SUB-00091,2026-03-30T11:00:00Z,4,4,6,22,45.67
SUB-00092,2026-01-25T07:00:00Z,0,2,6,52,57.57
SUB-00092,2026-03-08T07:00:00Z,0,2,6,52,57.57
SUB-00093,2026-01-28T16:00:00Z,0,3,6,63,64.91
SUB-00093,2026-03-11T16:00:00Z,0,3,6,63,64.91
SUB-00094,2026-01-18T12:00:00Z,0,1,6,22,70.47
SUB-00094,2026-03-01T12:00:00Z,1,1,6,22,70.47
SUB-00095,2026-01-19T16:00:00Z,0,3,6,31,68.37
SUB-00095,2026-03-02T16:00:00Z,0,3,6,31,68.37
SUB-00096,2026-01-30T06:00:00Z,0,4,6,27,69.04
SUB-00096,2026-03-13T06:00:00Z,0,4,6,27,69.04
SUB-00096,2026-03-18T06:00:00Z,6,4,6,27,69.04
SUB-00097,2026-01-25T22:00:00Z,0,2,6,43,69.10
SUB-00097,2026-03-08T22:00:00Z,0,2,6,43,69.10
SUB-00098,2026-01-24T02:00:00Z,0,0,6,24,47.67
SUB-00098,2026-03-07T02:00:00Z,1,0,6,24,47.67
SUB-00099,2026-01-26T12:00:00Z,0,3,6,6,43.03
SUB-00099,2026-03-09T12:00:00Z,0,3,6,6,43.03
SUB-00099,2026-03-16T12:00:00Z,5,3,6,6,43.03
SUB-00100,2026-01-17T04:00:00Z,0,2,6,11,60.84
SUB-00100,2026-02-28T04:00:00Z,0,2,6,11,60.84
SUB-00100,2026-03-17T04:00:00Z,5,2,6,11,60.84
SUB-00101,2026-01-28T00:00:00Z,0,0,6,7,51.44
SUB-00101,2026-03-11T00:00:00Z,0,0,6,7,51.44
SUB-00102,2026-01-22T16:00:00Z,0,3,6,11,36.69
SUB-00102,2026-03-05T16:00:00Z,1,3,6,11,36.69
SUB-00102,2026-04-02T16:00:00Z,4,3,6,11,36.69
SUB-00103,2026-01-19T09:00:00Z,0,5,6,33,84.76
SUB-00103,2026-03-02T09:00:00Z,0,5,6,33,84.76
SUB-00103,2026-03-22T09:00:00Z,5,5,6,33,84.76
SUB-00104,2026-01-18T10:00:00Z,0,2,6,14,25.23
SUB-00104,2026-03-01T10:00:00Z,0,2,6,14,25.23
SUB-00104,2026-03-07T10:00:00Z,4,2,6,14,25.23
SUB-00105,2026-01-22T13:00:00Z,0,3,6,16,84.10
SUB-00105,2026-03-05T13:00:00Z,0,3,6,16,84.10
SUB-00105,2026-03-10T13:00:00Z,4,3,6,16,84.10
SUB-00106,2026-01-20T23:00:00Z,0,5,6,69,66.39
SUB-00106,2026-03-03T23:00:00Z,0,5,6,69,66.39
SUB-00107,2026-01-29T09:00:00Z,0,8,6,45,77.37
SUB-00107,2026-03-12T09:00:00Z,0,8,6,45,77.37
SUB-00107,2026-03-21T09:00:00Z,3,8,6,45,77.37
SUB-00108,2026-01-29T14:00:00Z,1,2,6,67,60.66
SUB-00108,2026-03-12T14:00:00Z,2,2,6,67,60.66
SUB-00109,2026-01-17T10:00:00Z,0,2,6,71,53.67
SUB-00109,2026-02-28T10:00:00Z,0,2,6,71,53.67
SUB-00110,2026-01-21T06:00:00Z,0,3,6,69,48.03
SUB-00110,2026-03-04T06:00:00Z,0,3,6,69,48.03
SUB-00111,2026-01-28T18:00:00Z,0,3,6,68,43.10
SUB-00111,2026-03-11T18:00:00Z,0,3,6,68,43.10
SUB-00112,2026-01-29T03:00:00Z,0,3,6,53,46.85
SUB-00112,2026-03-12T03:00:00Z,0,3,6,53,46.85
SUB-00112,2026-04-06T03:00:00Z,1,3,6,53,46.85
SUB-00113,2026-01-24T03:00:00Z,0,2,6,49,73.21
SUB-00113,2026-03-07T03:00:00Z,0,2,6,49,73.21
SUB-00114,2026-01-19T07:00:00Z,0,0,6,4,92.14
SUB-00114,2026-03-02T07:00:00Z,0,0,6,4,92.14
SUB-00114,2026-03-10T07:00:00Z,5,0,6,4,92.14
SUB-00115,2026-01-16T15:00:00Z,0,2,6,15,36.61
SUB-00115,2026-02-27T15:00:00Z,0,2,6,15,36.61
SUB-00115,2026-03-28T15:00:00Z,3,2,6,15,36.61
SUB-00116,2026-01-21T05:00:00Z,0,3,6,66,36.67
SUB-00116,2026-03-04T05:00:00Z,0,3,6,66,36.67
SUB-00116,2026-03-17T05:00:00Z,1,3,6,66,36.67
SUB-00117,2026-01-24T21:00:00Z,0,4,6,4,73.43
SUB-00117,2026-03-07T21:00:00Z,0,4,6,4,73.43
SUB-00117,2026-03-15T21:00:00Z,1,4,6,4,73.43
SUB-00118,2026-01-27T15:00:00Z,0,5,6,11,60.08
SUB-00118,2026-03-10T15:00:00Z,0,5,6,11,60.08
SUB-00118,2026-04-07T15:00:00Z,3,5,6,11,60.08
SUB-00119,2026-01-24T23:00:00Z,0,1,6,57,64.14
SUB-00119,2026-03-07T23:00:00Z,1,1,6,57,64.14
SUB-00120,2026-01-29T13:00:00Z,0,1,6,49,46.81
SUB-00120,2026-03-12T13:00:00Z,0,1,6,49,46.81
SUB-00121,2026-01-19T05:00:00Z,0,3,6,29,62.32
SUB-00121,2026-03-02T05:00:00Z,1,3,6,29,62.32
SUB-00121,2026-03-24T05:00:00Z,4,3,6,29,62.32
SUB-00122,2026-01-21T12:00:00Z,0,3,6,35,79.21
SUB-00122,2026-03-04T12:00:00Z,1,3,6,35,79.21
SUB-00122,2026-03-28T12:00:00Z,6,3,6,35,79.21
SUB-00123,2026-01-28T22:00:00Z,0,1,6,30,31.58
SUB-00123,2026-03-11T22:00:00Z,0,1,6,30,31.58
SUB-00123,2026-03-19T22:00:00Z,2,1,6,30,31.58
SUB-00124,2026-01-27T11:00:00Z,1,3,6,16,33.62
SUB-00124,2026-03-10T11:00:00Z,2,3,6,16,33.62
SUB-00124,2026-03-16T11:00:00Z,4,3,6,16,33.62
SUB-00125,2026-01-17T23:00:00Z,0,0,6,49,65.02
SUB-00125,2026-02-28T23:00:00Z,1,0,6,49,65.02
SUB-00126,2026-01-26T10:00:00Z,0,3,6,59,86.48
SUB-00126,2026-03-09T10:00:00Z,0,3,6,59,86.48
SUB-00127,2026-01-27T08:00:00Z,0,2,6,40,46.72
SUB-00127,2026-03-10T08:00:00Z,1,2,6,40,46.72
SUB-00128,2026-01-25T21:00:00Z,0,1,6,7,49.30
SUB-00128,2026-03-08T21:00:00Z,1,1,6,7,49.30
SUB-00128,2026-03-14T21:00:00Z,4,1,6,7,49.30
SUB-00129,2026-01-26T22:00:00Z,0,3,6,25,58.17
SUB-00129,2026-03-09T22:00:00Z,0,3,6,25,58.17
SUB-00129,2026-03-30T22:00:00Z,2,3,6,25,58.17
SUB-00130,2026-01-24T06:00:00Z,0,0,6,26,49.45
SUB-00130,2026-03-07T06:00:00Z,0,0,6,26,49.45
SUB-00131,2026-01-19T19:00:00Z,0,1,6,53,25.91
SUB-00131,2026-03-02T19:00:00Z,0,1,6,53,25.91
SUB-00131,2026-03-26T19:00:00Z,1,1,6,53,25.91
SUB-00132,2026-01-28T17:00:00Z,0,2,6,8,51.30
SUB-00132,2026-03-11T17:00:00Z,0,2,6,8,51.30
SUB-00132,2026-03-31T17:00:00Z,2,2,6,8,51.30
SUB-00133,2026-01-21T10:00:00Z,0,5,6,31,96.54
SUB-00133,2026-03-04T10:00:00Z,0,5,6,31,96.54
SUB-00133,2026-03-17T10:00:00Z,4,5,6,31,96.54
SUB-00134,2026-01-16T23:00:00Z,0,4,6,40,46.43
SUB-00134,2026-02-27T23:00:00Z,0,4,6,40,46.43
SUB-00134,2026-03-19T23:00:00Z,3,4,6,40,46.43
SUB-00135,2026-01-27T15:00:00Z,1,3,6,5,96.41
SUB-00135,2026-03-10T15:00:00Z,2,3,6,5,96.41
SUB-00135,2026-03-23T15:00:00Z,8,3,6,5,96.41
SUB-00136,2026-01-17T20:00:00Z,0,4,6,3,84.63
SUB-00136,2026-02-28T20:00:00Z,1,4,6,3,84.63
SUB-00136,2026-03-22T20:00:00Z,5,4,6,3,84.63
SUB-00137,2026-01-21T08:00:00Z,0,3,6,23,92.57
SUB-00137,2026-03-04T08:00:00Z,0,3,6,23,92.57
SUB-00137,2026-03-27T08:00:00Z,5,3,6,23,92.57
SUB-00138,2026-01-19T03:00:00Z,0,2,6,39,51.95
SUB-00138,2026-03-02T03:00:00Z,0,2,6,39,51.95
SUB-00139,2026-01-17T23:00:00Z,0,2,6,57,63.01
SUB-00139,2026-02-28T23:00:00Z,0,2,6,57,63.01
SUB-00140,2026-01-16T17:00:00Z,0,4,6,4,36.81
SUB-00140,2026-02-27T17:00:00Z,0,4,6,4,36.81
SUB-00140,2026-03-14T17:00:00Z,5,4,6,4,36.81
SUB-00141,2026-01-24T05:00:00Z,0,4,6,53,69.29
SUB-00141,2026-03-07T05:00:00Z,0,4,6,53,69.29
SUB-00141,2026-03-26T05:00:00Z,1,4,6,53,69.29
SUB-00142,2026-01-22T07:00:00Z,0,0,6,22,58.00
SUB-00142,2026-03-05T07:00:00Z,1,0,6,22,58.00
SUB-00143,2026-01-19T20:00:00Z,2,2,6,71,49.31
SUB-00143,2026-03-02T20:00:00Z,3,2,6,71,49.31
SUB-00144,2026-01-24T10:00:00Z,0,4,6,16,79.88
SUB-00144,2026-03-07T10:00:00Z,1,4,6,16,79.88
SUB-00144,2026-03-13T10:00:00Z,3,4,6,16,79.88
SUB-00145,2026-01-24T08:00:00Z,0,3,6,27,59.27
SUB-00145,2026-03-07T08:00:00Z,0,3,6,27,59.27
SUB-00145,2026-03-29T08:00:00Z,4,3,6,27,59.27
SUB-00146,2026-01-19T21:00:00Z,0,6,6,31,26.71
SUB-00146,2026-03-02T21:00:00Z,0,6,6,31,26.71
SUB-00146,2026-03-21T21:00:00Z,6,6,6,31,26.71
SUB-00147,2026-01-28T17:00:00Z,0,4,6,5,64.77
SUB-00147,2026-03-11T17:00:00Z,0,4,6,5,64.77
SUB-00147,2026-04-03T17:00:00Z,2,4,6,5,64.77
SUB-00148,2026-01-17T16:00:00Z,0,7,6,39,71.11
SUB-00148,2026-02-28T16:00:00Z,0,7,6,39,71.11
SUB-00148,2026-03-27T16:00:00Z,7,7,6,39,71.11
SUB-00149,2026-01-18T17:00:00Z,0,2,6,49,51.63
SUB-00149,2026-03-01T17:00:00Z,0,2,6,49,51.63
SUB-00149,2026-03-16T17:00:00Z,1,2,6,49,51.63
SUB-00150,2026-01-25T04:00:00Z,0,7,6,68,89.26
SUB-00150,2026-03-08T04:00:00Z,0,7,6,68,89.26
SUB-00150,2026-03-17T04:00:00Z,2,7,6,68,89.26
SUB-00151,2026-01-28T19:00:00Z,0,3,6,45,45.86
SUB-00151,2026-03-11T19:00:00Z,1,3,6,45,45.86
SUB-00152,2026-01-21T01:00:00Z,0,1,6,21,54.42
SUB-00152,2026-03-04T01:00:00Z,0,1,6,21,54.42
SUB-00152,2026-03-31T01:00:00Z,4,1,6,21,54.42
SUB-00153,2026-01-19T01:00:00Z,1,2,6,22,43.01
SUB-00153,2026-03-02T01:00:00Z,2,2,6,22,43.01
SUB-00153,2026-03-09T01:00:00Z,5,2,6,22,43.01
SUB-00154,2026-01-22T14:00:00Z,0,2,6,15,72.44
SUB-00154,2026-03-05T14:00:00Z,0,2,6,15,72.44
SUB-00154,2026-03-30T14:00:00Z,6,2,6,15,72.44
SUB-00155,2026-01-28T03:00:00Z,0,1,6,7,46.63
SUB-00155,2026-03-11T03:00:00Z,0,1,6,7,46.63
SUB-00155,2026-03-26T03:00:00Z,5,1,6,7,46.63
SUB-00156,2026-01-24T14:00:00Z,0,0,6,27,77.56
